shapeid,MP,Constituency,Region,Party,MP's Religion,Denomination,Lat,Long,Dominant Religion
224,Kwame Governs Agbodza,Adaklu,Volta Region,NDC,Christian,,6.339297424,0.648951887,Christian
225,Joseph Z. Amenowode,Afadjato South,Volta Region,NDC,Christian,Global Evangelical Church,6.875702052,0.410205284,Christian
226,Juliana Azumah-Mensah (Mrs),Agotime-Ziope,Volta Region,NDC,Christian,Catholic,6.414999548,0.577888513,Christian
227,Joseph Kwadwo Ofori,Akan,Volta Region,Independent,Christian,,7.742452881,0.499141453,Christian
228,Peter Nortsu-Kotoe,Akatsi North,Volta Region,NDC,Christian,Evangelical Presbyterian,6.26448025,0.825454942,Christian
229,Bernard Ahiafor,Akatsi South,Volta Region,NDC,Christian,"Christ Foundation Ministry, Kwashiaman",6.055061885,0.795608244,Christian
230,Clement Kofi Humado,Anlo,Volta Region,NDC,Christian,Catholic,5.831192715,0.814726406,Christian
231,Emmanuel Kwasi Bandua,Biakoye,Volta Region,NDC,Christian,,7.312608722,0.337758808,Christian
232,Kwasi Ashiamah,Buem,Volta Region,NDC,Unkn,,7.368826027,0.518823869,
233,Joe Kwashie Gidisu,Central Tongu,Volta Region,NDC,Christian,Evangelical Presbyterian,6.148074764,0.588074156,Christian
234,Benjamin Komla Kpodo,Ho Central,Volta Region,NDC,Christian,,6.593869852,0.556272449,Christian
235,Emmanuel Kwasi Bedzrah,Ho West,Volta Region,NDC,Christian,,6.56018204,0.389903968,Christian
236,Bernice Adiku Heloo (Mrs) (PhD),Hohoe,Volta Region,NDC,Christian,Catholic,7.142091472,0.516766112,Christian
237,Richard Mawuli Quashigah,Keta,Volta Region,NDC,Christian,Action Chapel Intl,5.935716826,0.910065705,Christian
238,James Klutse Avedzi,Ketu North,Volta Region,NDC,Christian,Global Evangelical Church,6.153846359,0.970627743,Christian
239,Fiifi Fiavi Kwetey,Ketu South,Volta Region,NDC,Christian,,6.082565677,1.073047946,Christian
240,Della Sowah (Mrs),Kpando,Volta Region,NDC,Christian,Winner's Chapel,6.983902068,0.28201759,Christian
241,Wisdom Gidisu,Krachi East,Volta Region,NDC,Christian,Evangelical Presbyterian,7.738166391,0.216866016,Christian
242,John Majisi,Krachi Nchumuru,Volta Region,NDC,Christian,SDA,7.901686695,-0.007168783,Christian
243,Helen Adjoa Ntoso,Krachi West,Volta Region,NDC,Christian,Barea Christian Centre,8.158324373,-0.07865265,Christian
244,Kwabena Bless John Oti,Nkwanta North,Volta Region,NDC,Christian,,8.509535205,0.362437539,Christian
245,Gershon K. B. Gbediame,NKwanta South,Volta Region,NDC,Christian,Great Commission Church Int.,8.156817975,0.414404891,Christian
246,George Loh,North Dayi,Volta Region,NDC,Christian,Evangelical Presbyterian,6.817129073,0.248161387,Christian
247,Samuel Okudzeto Ablakwa,North Tongu,Volta Region,NDC,Christian,Fountain Gate,6.167674739,0.312514883,Christian
248,Edem Asmah,South Dayi,Volta Region,NDC,Christian,,6.564632679,0.214035479,Christian
249,Kobena Mensah Woyome,South Tongu,Volta Region,NDC,Christian,Winners Chapel Int.,5.969018989,0.662368193,Christian
250,George Kwame Aboagye,Ahanta West,Western Region,NDC,Christian,Methodist,4.849522596,-2.009787098,Christian
251,George Kofi Arthur,Amenfi Central,Western Region,NDC,Christian,Catholic,5.84098797,-2.250345047,Christian
252,Akwasi Opong-Fosu,Amenfi East,Western Region,NDC,Christian,Word Miracle Church International,5.797552601,-2.009582598,Christian
253,Eric Afful,Amenfi West,Western Region,NDC,Christian,,5.605408085,-2.436578088,Christian
254,Mathias Kwame Ntow,Aowin,Western Region,NDC,Christian,Pentecost,5.724290416,-2.705325682,Christian
255,Richard Acheampong,Bia East,Western Region,NDC,Christian,Assemblies of God,6.760667165,-2.968720668,Christian
256,Michael Coffie Boampong,Bia West,Western Region,NDC,Christian,Methodist,6.704352906,-3.14524774,Christian
257,Gyedu Kingsley Aboagye,Bibiani-Anhwiaso-Bekwai,Western Region,NPP,Christian,Methodist,6.284620766,-2.26210825,Christian
258,Sampson Ahi,Bodi,Western Region,NDC,Christian,Anglican,6.249384679,-2.918250583,Christian
259,Joseph Cudjoe,Effia,Western Region,NPP,Christian,,5.072104298,-1.642918792,Christian
260,Emmanuel Armah-Kofi Buah,Ellembelle,Western Region,NDC,Christian,Pentecost,5.161016167,-2.400393751,Christian
261,Joe Ghartey,Essikado-Ketan,Western Region,NPP,Christian,Methodist,5.024948382,-1.626854448,Christian
262,Kweku Tanikyi Kessie,Evalue-Ajomoro-Gwira,Western Region,NDC,Christian,,5.107119246,-2.203862513,Christian
263,Francis K. Anaman (WG. CDR. [RTD]),Jomoro,Western Region,NDC,Christian,Assemblies of God,5.172645772,-2.668265439,Christian
264,Mintah Kwabena Akando,Juaboso,Western Region,NDC,Christian,Anglican,6.46074104,-2.929838974,Christian
265,Joe Baidoe-Ansah,Kwesimintsim,Western Region,NPP,Christian,Catholic,5.023925065,-1.717029346,Christian
266,Alex Kofi Agyekum,Mpohor,Western Region,NPP,Christian,Methodist,5.063199787,-1.818102991,Christian
267,Francis Adu-Blay Koffie,Prestea-Huni Valley,Western Region,NDC,Christian,Living Word International Church,5.46437743,-2.028886821,Christian
268,"Herod Cobbina,",Sefwi Akontombra,Western Region,NDC,Christian,Catholic,6.227181867,-2.544397902,Christian
269,Evans Paul Aidoo,Sefwi Wiawso,Western Region,NDC,Christian,Catholic,6.063697979,-2.797010066,Christian
270,Papa Owusu-Ankomah,Sekondi,Western Region,NPP,Christian,Methodist,4.982974759,-1.69567383,Christian
271,Gabriel Kodwo Essilfie,Shama,Western Region,NDC,Christian,Methodist,5.141182082,-1.561378653,Christian
272,Stephen M. E. K. Ackah,Suaman,Western Region,NDC,Christian,Methodist,5.951089189,-2.977956311,Christian
273,Kwabena Okyere Darko-Mensah,Takoradi,Western Region,NPP,Christian,Methodist,4.940560046,-1.766688645,Christian
274,Gifty Eugenia Kusi (Mrs),Tarkwa-Nsuaem,Western Region,NPP,Christian,Pentecost,5.182473084,-1.947508227,Christian
275,Isaac Adjei Mensah,Wassa East,Western Region,NDC,Christian,Pentecost,5.384999776,-1.662791961,Christian
